ACC=0.694609, f1_macro=0.675076, precision_macro=0.737871, recall_macro=0.671195, f1_micro=0.694609, precision_micro=0.694609, recall_micro=0.694609, NMI=0.477409, ADJ_RAND_SCORE=0.437472
ACC=0.594165, f1_macro=0.562262, precision_macro=0.725377, recall_macro=0.542081, f1_micro=0.594165, precision_micro=0.594165, recall_micro=0.594165, NMI=0.372275, ADJ_RAND_SCORE=0.265717
ACC=0.664697, f1_macro=0.650664, precision_macro=0.710109, recall_macro=0.640579, f1_micro=0.664697, precision_micro=0.664697, recall_micro=0.664697, NMI=0.445223, ADJ_RAND_SCORE=0.388005
ACC=0.651403, f1_macro=0.630824, precision_macro=0.686172, recall_macro=0.628770, f1_micro=0.651403, precision_micro=0.651403, recall_micro=0.651403, NMI=0.428720, ADJ_RAND_SCORE=0.380399
ACC=0.659158, f1_macro=0.635822, precision_macro=0.685829, recall_macro=0.634505, f1_micro=0.659158, precision_micro=0.659158, recall_micro=0.659158, NMI=0.436089, ADJ_RAND_SCORE=0.393701
ACC=0.665436, f1_macro=0.637840, precision_macro=0.707096, recall_macro=0.632244, f1_micro=0.665436, precision_micro=0.665436, recall_micro=0.665436, NMI=0.437063, ADJ_RAND_SCORE=0.396659
ACC=0.642541, f1_macro=0.616913, precision_macro=0.714728, recall_macro=0.602812, f1_micro=0.642541, precision_micro=0.642541, recall_micro=0.642541, NMI=0.413600, ADJ_RAND_SCORE=0.343074
ACC=0.695347, f1_macro=0.672624, precision_macro=0.736791, recall_macro=0.669660, f1_micro=0.695347, precision_micro=0.695347, recall_micro=0.695347, NMI=0.478452, ADJ_RAND_SCORE=0.442479
ACC=0.598966, f1_macro=0.561444, precision_macro=0.722985, recall_macro=0.553698, f1_micro=0.598966, precision_micro=0.598966, recall_micro=0.598966, NMI=0.386818, ADJ_RAND_SCORE=0.291559
ACC=0.679838, f1_macro=0.661248, precision_macro=0.710123, recall_macro=0.652861, f1_micro=0.679838, precision_micro=0.679838, recall_micro=0.679838, NMI=0.449745, ADJ_RAND_SCORE=0.409643
ACC=0.662482, f1_macro=0.644432, precision_macro=0.691969, recall_macro=0.639861, f1_micro=0.662482, precision_micro=0.662482, recall_micro=0.662482, NMI=0.436292, ADJ_RAND_SCORE=0.391806
ACC=0.675037, f1_macro=0.652056, precision_macro=0.708013, recall_macro=0.643389, f1_micro=0.675037, precision_micro=0.675037, recall_micro=0.675037, NMI=0.447972, ADJ_RAND_SCORE=0.411617
ACC=0.678360, f1_macro=0.652526, precision_macro=0.731070, recall_macro=0.645529, f1_micro=0.678360, precision_micro=0.678360, recall_micro=0.678360, NMI=0.453586, ADJ_RAND_SCORE=0.412215
ACC=0.638109, f1_macro=0.611021, precision_macro=0.719465, recall_macro=0.604941, f1_micro=0.638109, precision_micro=0.638109, recall_micro=0.638109, NMI=0.419496, ADJ_RAND_SCORE=0.345759
ACC=0.619645, f1_macro=0.588804, precision_macro=0.716770, recall_macro=0.585441, f1_micro=0.619645, precision_micro=0.619645, recall_micro=0.619645, NMI=0.401987, ADJ_RAND_SCORE=0.322001
ACC=0.625185, f1_macro=0.595585, precision_macro=0.710568, recall_macro=0.593938, f1_micro=0.625185, precision_micro=0.625185, recall_micro=0.625185, NMI=0.406604, ADJ_RAND_SCORE=0.332614
ACC=0.644387, f1_macro=0.620692, precision_macro=0.708001, recall_macro=0.615573, f1_micro=0.644387, precision_micro=0.644387, recall_micro=0.644387, NMI=0.418018, ADJ_RAND_SCORE=0.355883
ACC=0.673560, f1_macro=0.651706, precision_macro=0.704232, recall_macro=0.645784, f1_micro=0.673560, precision_micro=0.673560, recall_micro=0.673560, NMI=0.439097, ADJ_RAND_SCORE=0.401558
ACC=0.685746, f1_macro=0.668693, precision_macro=0.705670, recall_macro=0.666007, f1_micro=0.685746, precision_micro=0.685746, recall_micro=0.685746, NMI=0.460780, ADJ_RAND_SCORE=0.426813
ACC=0.689808, f1_macro=0.677014, precision_macro=0.708103, recall_macro=0.678474, f1_micro=0.689808, precision_micro=0.689808, recall_micro=0.689808, NMI=0.468701, ADJ_RAND_SCORE=0.427979
ACC=0.685377, f1_macro=0.671055, precision_macro=0.708132, recall_macro=0.675648, f1_micro=0.685377, precision_micro=0.685377, recall_micro=0.685377, NMI=0.468204, ADJ_RAND_SCORE=0.428103
ACC=0.681684, f1_macro=0.667341, precision_macro=0.714177, recall_macro=0.670810, f1_micro=0.681684, precision_micro=0.681684, recall_micro=0.681684, NMI=0.470261, ADJ_RAND_SCORE=0.425602
ACC=0.686484, f1_macro=0.670130, precision_macro=0.720399, recall_macro=0.675901, f1_micro=0.686484, precision_micro=0.686484, recall_micro=0.686484, NMI=0.474808, ADJ_RAND_SCORE=0.431248
ACC=0.690916, f1_macro=0.674424, precision_macro=0.722140, recall_macro=0.678846, f1_micro=0.690916, precision_micro=0.690916, recall_micro=0.690916, NMI=0.479333, ADJ_RAND_SCORE=0.436456
ACC=0.692762, f1_macro=0.672183, precision_macro=0.717949, recall_macro=0.676103, f1_micro=0.692762, precision_micro=0.692762, recall_micro=0.692762, NMI=0.476664, ADJ_RAND_SCORE=0.444230
ACC=0.697194, f1_macro=0.676269, precision_macro=0.721142, recall_macro=0.680549, f1_micro=0.697194, precision_micro=0.697194, recall_micro=0.697194, NMI=0.477991, ADJ_RAND_SCORE=0.447473
ACC=0.704210, f1_macro=0.680985, precision_macro=0.721197, recall_macro=0.685509, f1_micro=0.704210, precision_micro=0.704210, recall_micro=0.704210, NMI=0.486636, ADJ_RAND_SCORE=0.467644
ACC=0.699409, f1_macro=0.677995, precision_macro=0.722570, recall_macro=0.682808, f1_micro=0.699409, precision_micro=0.699409, recall_micro=0.699409, NMI=0.485378, ADJ_RAND_SCORE=0.459872
ACC=0.706425, f1_macro=0.684769, precision_macro=0.729618, recall_macro=0.688803, f1_micro=0.706425, precision_micro=0.706425, recall_micro=0.706425, NMI=0.492876, ADJ_RAND_SCORE=0.464539
ACC=0.705687, f1_macro=0.683662, precision_macro=0.726771, recall_macro=0.684740, f1_micro=0.705687, precision_micro=0.705687, recall_micro=0.705687, NMI=0.488559, ADJ_RAND_SCORE=0.467240
ACC=0.706056, f1_macro=0.688690, precision_macro=0.729745, recall_macro=0.689217, f1_micro=0.706056, precision_micro=0.706056, recall_micro=0.706056, NMI=0.488090, ADJ_RAND_SCORE=0.461744
ACC=0.700517, f1_macro=0.684205, precision_macro=0.720918, recall_macro=0.684871, f1_micro=0.700517, precision_micro=0.700517, recall_micro=0.700517, NMI=0.475653, ADJ_RAND_SCORE=0.449331
ACC=0.710118, f1_macro=0.691657, precision_macro=0.729594, recall_macro=0.690761, f1_micro=0.710118, precision_micro=0.710118, recall_micro=0.710118, NMI=0.486820, ADJ_RAND_SCORE=0.464607
ACC=0.703840, f1_macro=0.686214, precision_macro=0.721878, recall_macro=0.687813, f1_micro=0.703840, precision_micro=0.703840, recall_micro=0.703840, NMI=0.481405, ADJ_RAND_SCORE=0.459359
ACC=0.706425, f1_macro=0.688834, precision_macro=0.726856, recall_macro=0.692547, f1_micro=0.706425, precision_micro=0.706425, recall_micro=0.706425, NMI=0.486523, ADJ_RAND_SCORE=0.460207
ACC=0.696455, f1_macro=0.677313, precision_macro=0.722166, recall_macro=0.679948, f1_micro=0.696455, precision_micro=0.696455, recall_micro=0.696455, NMI=0.475239, ADJ_RAND_SCORE=0.445913
ACC=0.706056, f1_macro=0.683415, precision_macro=0.730084, recall_macro=0.686205, f1_micro=0.706056, precision_micro=0.706056, recall_micro=0.706056, NMI=0.487241, ADJ_RAND_SCORE=0.469237
ACC=0.702733, f1_macro=0.682372, precision_macro=0.726507, recall_macro=0.686407, f1_micro=0.702733, precision_micro=0.702733, recall_micro=0.702733, NMI=0.486524, ADJ_RAND_SCORE=0.460624
ACC=0.699778, f1_macro=0.679220, precision_macro=0.721610, recall_macro=0.682620, f1_micro=0.699778, precision_micro=0.699778, recall_micro=0.699778, NMI=0.482551, ADJ_RAND_SCORE=0.456892
ACC=0.705318, f1_macro=0.686186, precision_macro=0.724537, recall_macro=0.689695, f1_micro=0.705318, precision_micro=0.705318, recall_micro=0.705318, NMI=0.485328, ADJ_RAND_SCORE=0.463101
ACC=0.708272, f1_macro=0.688514, precision_macro=0.723814, recall_macro=0.689823, f1_micro=0.708272, precision_micro=0.708272, recall_micro=0.708272, NMI=0.486805, ADJ_RAND_SCORE=0.465965
ACC=0.716396, f1_macro=0.699005, precision_macro=0.732989, recall_macro=0.700331, f1_micro=0.716396, precision_micro=0.716396, recall_micro=0.716396, NMI=0.495868, ADJ_RAND_SCORE=0.475393
ACC=0.711226, f1_macro=0.692852, precision_macro=0.729473, recall_macro=0.692573, f1_micro=0.711226, precision_micro=0.711226, recall_micro=0.711226, NMI=0.491587, ADJ_RAND_SCORE=0.470014
ACC=0.714180, f1_macro=0.695417, precision_macro=0.734758, recall_macro=0.694751, f1_micro=0.714180, precision_micro=0.714180, recall_micro=0.714180, NMI=0.497533, ADJ_RAND_SCORE=0.473127
ACC=0.712334, f1_macro=0.692483, precision_macro=0.731120, recall_macro=0.694118, f1_micro=0.712334, precision_micro=0.712334, recall_micro=0.712334, NMI=0.498492, ADJ_RAND_SCORE=0.476354
ACC=0.717504, f1_macro=0.697018, precision_macro=0.731537, recall_macro=0.698600, f1_micro=0.717504, precision_micro=0.717504, recall_micro=0.717504, NMI=0.496981, ADJ_RAND_SCORE=0.481619
ACC=0.710857, f1_macro=0.691074, precision_macro=0.729023, recall_macro=0.692841, f1_micro=0.710857, precision_micro=0.710857, recall_micro=0.710857, NMI=0.489135, ADJ_RAND_SCORE=0.469897
ACC=0.707533, f1_macro=0.688591, precision_macro=0.725659, recall_macro=0.691264, f1_micro=0.707533, precision_micro=0.707533, recall_micro=0.707533, NMI=0.488123, ADJ_RAND_SCORE=0.467950
